date,total,male,female,age_15-19,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65_over,國中及以下,國小及以下,國中,高中_職,高中,高職,大專及以上,專科,大學及以上
"1978M01","2.01","1.82","2.39","5.01","4.55","1.77","0.18","0.54","0.49","0.58","1.22","0.98","0.97","0.73","1.41","0.92","3.12","4.11","4.32","3.98","3.28","4.54","2.06"
"1978M02","1.84","1.70","2.14","4.42","4.37","1.52","0.78","0.34","0.66","0.61","0.78","0.52","0.23","-","1.34","0.88","2.88","3.80","4.11","3.62","2.32","2.59","2.05"
"1978M03","1.76","1.62","2.03","3.41","4.66","1.53","0.58","0.44","0.78","0.42","1.29","0.55","0.32","0.58","1.17","0.73","2.65","4.11","4.38","3.96","2.35","3.33","1.39"
"1978M04","1.58","1.54","1.66","3.11","4.02","1.57","0.47","0.48","0.39","0.38","1.17","0.92","0.20","0.57","1.05","0.72","2.21","3.64","4.36","3.24","2.14","3.20","1.15"
"1978M05","1.70","1.82","1.44","3.30","3.89","1.88","0.86","0.25","0.22","0.60","0.98","1.75","0.72","-","1.13","0.79","2.27","3.57","3.75","3.46","2.72","3.77","1.76"
"1978M06","1.65","1.78","1.38","3.60","3.47","1.71","0.91","0.73","0.33","0.37","0.51","1.53","0.66","-","0.93","0.63","1.90","3.64","3.49","3.73","3.82","5.41","2.30"
"1978M07","1.84","1.66","2.18","5.44","4.20","1.30","0.67","0.55","0.12","0.25","0.49","0.54","0.04","-","0.90","0.47","2.36","4.42","3.44","4.96","4.47","4.82","4.10"
"1978M08","1.88","1.66","2.30","5.48","3.85","1.61","0.59","0.21","0.12","0.60","0.43","0.45","0.35","-","1.09","0.58","2.70","4.46","4.25","4.58","3.31","3.26","3.37"
"1978M09","1.89","1.74","2.18","4.38","4.10","1.89","0.75","0.39","0.62","0.51","0.70","0.44","0.70","-","1.12","0.68","2.42","3.88","4.13","3.73","4.48","4.26","4.72"
"1978M10","1.53","1.39","1.81","3.47","3.02","1.51","0.57","0.35","0.65","0.38","0.95","0.85","0.59","-","0.93","0.60","1.92","3.49","4.09","3.13","2.78","2.81","2.75"
"1978M11","1.12","0.99","1.39","2.59","2.42","1.07","0.69","0.18","0.34","0.29","0.56","0.26","0.20","-","0.59","0.33","1.45","2.49","2.29","2.61","3.03","3.21","2.83"
"1978M12","1.20","1.11","1.37","2.78","2.77","1.16","0.58","0.08","0.42","0.13","0.74","0.33","0.21","-","0.69","0.41","1.58","2.59","2.16","2.83","2.85","3.62","2.09"
"1979M01","1.29","1.26","1.34","2.58","3.67","1.17","0.34","0.23","0.30","0.20","0.62","0.62","0.35","-","0.82","0.56","1.65","2.70","2.65","2.72","2.47","2.94","2.01"
"1979M02","1.30","1.20","1.51","2.62","3.59","1.08","0.46","0.25","0.38","0.51","0.53","0.58","0.65","-","0.91","0.65","1.73","2.57","2.80","2.45","1.99","2.36","1.57"
"1979M03","1.19","1.04","1.49","2.50","3.62","0.97","0.34","0.28","0.17","0.32","0.39","0.52","0.35","-","0.76","0.49","1.60","2.63","1.89","3.05","1.70","2.14","1.23"
"1979M04","1.09","1.04","1.19","2.47","2.97","0.79","0.48","0.19","0.32","0.35","0.70","0.20","0.42","-","0.75","0.49","1.52","2.26","1.85","2.50","1.46","1.83","1.12"
"1979M05","1.18","1.13","1.28","2.45","3.13","1.06","0.37","0.33","0.33","0.43","0.73","0.34","0.38","-","0.86","0.65","1.48","2.28","2.07","2.39","1.52","1.78","1.26"
"1979M06","1.13","1.11","1.18","2.31","3.22","0.88","0.53","0.28","0.21","0.38","0.66","0.61","0.42","-","0.75","0.53","1.42","2.39","2.18","2.51","1.75","2.26","1.25"
"1979M07","1.54","1.14","2.31","5.07","3.44","0.95","0.37","0.27","0.07","0.35","0.53","0.65","0.37","-","0.81","0.36","2.11","3.67","2.89","4.07","3.04","3.52","2.62"
"1979M08","1.54","1.39","1.86","4.15","4.02","0.88","0.58","0.09","0.27","0.38","0.27","0.72","0.50","-","0.74","0.36","1.78","3.58","2.84","3.96","3.78","4.24","3.36"
"1979M09","1.41","1.33","1.58","3.65","3.37","1.11","0.49","0.15","0.38","0.23","0.47","0.89","0.55","-","0.77","0.44","1.70","3.14","2.99","3.22","3.04","3.32","2.75"
"1979M10","1.17","1.03","1.46","3.03","3.01","1.12","0.29","0.17","0.14","0.17","0.44","0.12","0.13","-","0.59","0.24","1.58","2.85","2.93","2.82","2.24","2.26","2.23"
"1979M11","1.20","1.04","1.53","3.22","3.02","1.18","0.32","0.27","0.10","0.31","0.07","0.19","0.14","-","0.74","0.43","1.60","2.69","2.84","2.60","1.94","2.40","1.46"
"1979M12","1.23","1.05","1.58","2.95","3.23","1.11","0.42","0.24","0.22","0.24","0.31","0.25","0.56","-","0.73","0.53","1.29","2.67","2.32","2.85","2.27","3.10","1.35"
"1980M01","0.95","0.91","1.04","2.03","2.42","1.02","0.53","0.13","0.17","0.13","0.31","0.46","0.57","-","0.46","0.32","0.87","2.17","2.21","2.15","2.09","2.97","1.14"
"1980M02","1.10","0.98","1.34","2.00","3.21","1.14","0.47","0.37","0.19","0.06","0.43","0.46","0.45","-","0.55","0.36","1.07","2.51","2.90","2.31","2.18","3.46","0.74"
"1980M03","1.06","1.00","1.16","2.15","3.09","0.97","0.59","0.24","0.20","0.43","0.21","0.40","-","-","0.61","0.35","1.33","2.37","2.41","2.35","1.45","2.16","0.67"
"1980M04","0.93","0.83","1.13","1.90","2.85","0.82","0.56","0.18","0.11","0.37","0.15","0.08","0.25","-","0.59","0.36","1.24","2.09","1.85","2.23","0.97","1.15","0.78"
"1980M05","1.19","1.07","1.42","2.62","2.94","1.46","0.54","0.24","0.13","0.42","0.61","0.27","0.64","-","0.75","0.56","1.30","2.64","2.61","2.66","1.44","1.29","1.59"
"1980M06","1.30","1.32","1.26","2.92","3.56","1.39","0.56","0.48","0.21","0.08","0.62","0.35","0.19","-","0.65","0.38","1.41","2.86","1.98","3.35","2.80","2.24","3.35"
"1980M07","1.52","1.35","1.86","4.63","3.74","1.11","0.51","0.31","0.14","0.19","0.46","0.62","0.30","-","0.79","0.40","1.87","3.00","1.86","3.61","3.68","3.27","4.10"
"1980M08","1.62","1.35","2.16","5.29","3.33","1.41","0.21","0.34","0.41","0.38","0.36","0.65","0.34","-","0.94","0.49","2.11","3.04","2.36","3.40","3.55","3.31","3.80"
"1980M09","1.36","1.14","1.81","4.39","3.29","0.91","0.27","0.35","0.14","0.35","0.41","0.30","0.06","-","0.76","0.36","1.73","2.79","1.92","3.24","2.64","2.67","2.61"
"1980M10","1.26","1.09","1.61","3.82","3.16","0.79","0.42","0.24","0.21","0.30","0.59","0.12","0.15","-","0.69","0.36","1.54","2.77","2.50","2.92","2.00","2.14","1.84"
"1980M11","1.20","1.05","1.49","3.29","2.73","0.96","0.36","0.45","0.15","0.23","0.61","0.80","0.41","-","0.71","0.39","1.52","2.49","2.27","2.62","1.91","2.46","1.32"
"1980M12","1.25","1.21","1.33","2.94","3.26","1.12","0.33","0.36","0.26","0.54","0.36","0.73","0.15","-","0.70","0.51","1.23","2.67","2.80","2.60","2.07","3.00","1.09"
"1981M01","0.96","0.87","1.14","2.06","2.67","0.78","0.32","0.60","0.18","0.23","0.29","0.37","0.14","-","0.60","0.39","1.16","1.88","1.50","2.09","1.54","1.89","1.16"
"1981M02","1.43","1.35","1.57","3.11","3.67","1.42","0.58","0.36","0.52","0.56","0.38","0.72","0.35","-","0.95","0.61","1.82","3.02","2.81","3.14","1.53","1.56","1.49"
"1981M03","1.09","0.95","1.37","2.18","3.18","0.93","0.52","0.48","0.41","0.34","0.30","0.34","0.39","-","0.75","0.49","1.44","2.32","2.14","2.43","0.88","1.25","0.50"
"1981M04","0.86","0.83","0.93","1.87","2.86","0.56","0.22","0.36","0.20","0.17","0.41","0.17","0.35","-","0.60","0.35","1.23","1.73","1.54","1.83","0.92","1.10","0.74"
